cl1,date,message,TOXICITY,SEVERE_TOXICITY,IDENTITY_ATTACK,INSULT,PROFANITY,THREAT
68,2021-02-13 2:10:00,"Lucasfilm called Gina's post ""abhorrent and unacceptable"" and announced they fired her.",0.21627559,0.0063016815,0.030456344,0.19937621,0.028185261,0.03128723
69,2021-02-13 0:58:21,"The justices should have berated Germany, not rewarded it.",0.22510603,0.013376211,0.14724423,0.123370975,0.11453058,0.23028071
70,2021-02-14 17:02:07,Lucasfilm drops ‘Mandalorian’ star Gina Carano after offensive social media posts. - Today Show,0.065721996,0.0035224024,0.039515622,0.062042665,0.025534172,0.02589108
71,2021-02-17 22:55:08,"Israel leads the world in coronavirus vaccinations, but infections in the country are still high. The Haredim, or ultra-Orthodox — just 12.6% of Israel's population, but 28% of its infections — have borne the brunt of the outbreak.",0.16551583,0.0074312286,0.119785845,0.068346545,0.013394976,0.016688054
72,2021-02-17 14:10:13,"Covid-19 is devastating Israel’s ultra-Orthodox communities, for whom social distancing is the antithesis of life. The New York Times got a rare look inside.",0.24418297,0.008679675,0.043097194,0.029326199,0.00837186,0.011772383
73,2021-02-18 12:36:03,"The founder of the Canadian Nationalist Party also said Jewish people ""infect the body politic like a parasite"" in video reported to police in 2019.",0.5042868,0.07460387,0.5406234,0.6235996,0.2364348,0.032765627
74,2021-02-21 16:56:26,"In the late 18th century, ice skating clubs typically excluded women, Jews, people of color, and low-income people. Skating and privilege have long gone hand in hand. In order for the sport to survive, this has to change:",0.16344422,0.007669028,0.25684682,0.08671673,0.03878962,0.019090451
75,2021-02-21 14:57:06,The once-rejected herb is becoming a cornerstone of so much beneficial treatment—and my mission is to make it available to observant Jews and anyone else who requires it.,0.1621016,0.008560775,0.14708029,0.060691833,0.02665042,0.023008205
76,2021-02-22 18:51:33,Is this comedy?,0.03753809,0.0024820303,0.021449735,0.021701388,0.01611583,0.015764056
77,2021-02-23 22:55:11,"Opinion | Sheila Katz: ""Black women in our country too often get disproportionate criticism and harmful backlash for the same actions or behaviors that would be overlooked from white and male colleagues."" - NBC News THINK",0.34388447,0.015100257,0.46741876,0.28602606,0.032789785,0.016761975
78,2021-02-23 18:15:19,Opinion | Sheila Katz: A lawyer whose career was spent championing the rights of Jews and other marginalized people is being maligned for things she never said. It's not right. - NBC News THINK,0.17587385,0.005439659,0.14800932,0.13190964,0.04325461,0.01975573
79,2021-02-23 18:05:51,A “Saturday Night Live” joke on vaccination rates in Israel stirred controversy. This Monitor report in January sheds light on why vaccination rates of Israeli Arabs are lower than Jews in the country.,0.16151784,0.0046668113,0.13381985,0.06564488,0.014301927,0.014803098
80,2021-02-23 1:19:00,"In a July 29, 2020 post, Young Pharaoh claimed that Jews are responsible for all of the censorship and pedophilia on social media.",0.42631236,0.07640139,0.53870773,0.43035552,0.21654508,0.09836589
81,2021-02-24 22:01:34,"""The episode is actually a string of bizarre depictions of Orthodox Jewish individuals.""",0.27045983,0.009928121,0.37169197,0.1952334,0.04353367,0.017722933
82,2021-02-24 17:33:36,Modern democracies should not be bartering away religious freedom.,0.111500904,0.0033440527,0.12970537,0.054613087,0.025952766,0.019238291
83,2021-02-24 4:52:11,"Opinion | Sheila Katz: ""Black women in our country too often get disproportionate criticism and harmful backlash for the same actions or behaviors that would be overlooked from white and male colleagues."" - NBC News THINK",0.34388447,0.015100257,0.46741876,0.28602606,0.032789785,0.016761975
84,2021-02-24 1:18:07,"Opinion | Sheila Katz: ""Black women in our country too often get disproportionate criticism and harmful backlash for the same actions or behaviors that would be overlooked from white and male colleagues."" - NBC News THINK",0.34388447,0.015100257,0.46741876,0.28602606,0.032789785,0.016761975
85,2021-02-26 22:30:44,"A State Department official for several years has been publicly calling for the establishment of Christian nation-states, warning that white people face “elimination” and railing against Jews as well as Black Lives Matter and other social movements.",0.34388447,0.053706866,0.47175294,0.19730482,0.11052819,0.41026887
86,2021-03-01 0:38:27,Protesters gathered outside NBC Studios in New York City to demand an apology for a “Saturday Night Live” joke decried as anti-Semitic.,0.17380224,0.006242232,0.20738718,0.12449879,0.03878962,0.021308048
87,2021-03-02 23:15:00,Video from a Frontier Airlines flight went viral when a group of Hasidic Jews was thrown off a plane.,0.37954164,0.069610775,0.48406938,0.307206,0.25065684,0.40362522
88,2021-03-02 0:40:15,"Frontier Airlines said a flight from Miami to New York City was canceled on Sunday after a group of passengers refused to wear masks. Now, the airline is facing accusations of anti-Semitism for its treatment of the passengers, who are Orthodox Jews.",0.19338597,0.0061530573,0.2980635,0.10927318,0.03390603,0.024930121
89,2021-03-04 17:26:18,CPAC's friendship with the Jewish community deserves to be applauded by Jews and Zionists of all political leanings.,0.22982138,0.013078962,0.35043338,0.13815117,0.044649918,0.020199249
90,2021-03-04 14:35:14,Here is some of what Karl Marx had to say about Jews...,0.2712817,0.014743557,0.38396132,0.14250079,0.118610635,0.03128723
91,2021-03-08 18:15:19,Someone needs to tell Laura Loomer to stop ✋,0.30053464,0.027930638,0.040779706,0.15511361,0.07330158,0.11317709
92,2021-03-11 17:41:11,"“I’m an Italian and a Jew,” Cicilline reacted on Twitter. “Mussolini was a fascist dictator in league with Adolf Hitler, who murdered six million Jews. Marjorie Taylor Greene can get lost.”",0.39694545,0.04698263,0.40071982,0.41541728,0.12758678,0.41727275
93,2021-03-13 18:26:07,"Timothy Hale-Cusanelli, a U.S. Army reservist and a security contractor for the Navy who was arrested for allegedly breaching the Capitol during the Jan. 6 riot, was a known white supremacist, federal prosecutors said.",0.2406723,0.009511973,0.36062792,0.1952334,0.031813066,0.026778119
94,2021-03-13 17:54:00,A filing by the United States opposed Timothy Hale-Cusanelli's pre-trial release and showed evidence that the defendant had white supremacist ideologies.,0.29070088,0.009928121,0.398219,0.22359945,0.029022448,0.019238291
95,2021-03-13 17:00:52,"A U.S. Army reservist who participated in the Capitol riot was widely known as a white supremacist and regularly discussed his hatred of Jews, according to new evidence revealed by federal prosecutors.",0.38261065,0.039137695,0.5128833,0.28700712,0.16599734,0.09152995
96,2021-03-13 15:15:20,"An accused Capitol rioter’s coworkers say he “talked constantly about Jewish people” and thought “Hitler should have finished the job,” according to new court documents filed by federal prosecutors.",0.10461388,0.0046073617,0.13685158,0.055288505,0.024557455,0.020716688
97,2021-03-14 13:00:00,"Of those interviewed, 34 agreed Hale-Cusanelli held “extremist or radical views pertaining to the Jewish people, minorities, and women.” One contractor colleague said he discussed his dislike for Jews every day. A supervisor told investigators she had to admonish him for sporting a “Hitler“ mustache (images of which prosecutors extracted from Hale-Cusanelli’s phone).",0.18549223,0.0070150797,0.24904063,0.13181508,0.022604022,0.017759893
98,2021-03-15 19:30:05,"Timony Hale-Cusanelli, 30, left a lengthy trail of evidence about his racist and misogynist views, according to prosecutors.",0.2712817,0.009928121,0.14740817,0.32059136,0.026510889,0.015394457
99,2021-03-15 18:15:09,"The Navy contractor expressed pro-Nazi views and once came to work sporting a Hitler-style mustache, prosecutors allege.",0.18746567,0.0092741735,0.14839186,0.13834031,0.034324624,0.023229964
100,2021-03-15 0:02:47,"A Navy security contractor arrested for allegedly breaching the Capitol on Jan. 6 was a known white supremacist, federal prosecutors say.",0.29045674,0.011949415,0.39875066,0.2162745,0.035719935,0.043108724
101,2021-03-17 1:58:20,"Cannon had floated a number of anti-Semitic conspiracy theories, saying, “we give so much power to the theys, and theys turn into illuminati, the Zionists, the Rothschilds”; suggesting that those who lack melanin are “savages” and “evil”; claiming that Jews had co-opted Judaism from Black people, who were “the true Hebrews”; and that Black people therefore “can’t be anti-Semitic.”",0.089577995,0.0033291904,0.12140586,0.086152814,0.014860051,0.011643023
102,2021-03-21 5:00:32,"On Passover, Jews around the world will read from the same book at the same time, showing the power of the Haggadah to preserve Jewish continuity, Mark Gerson writes.",0.001475091,4.23E-05,0.011600405,0.0011822124,0.000558124,0.009264882
103,2021-03-23 3:29:20,"In Israeli elections Tuesday, the support of Arab voters has been in high demand. But how ready are Jews and Arabs to be true political partners?",0.1668969,0.0063016815,0.14594674,0.057990167,0.02776667,0.016614135
104,2021-03-25 14:38:22,Here's a look at a how different people and organizations are celebrating another Passover during the pandemic.,0.023460433,0.0011964277,0.027928174,0.02228791,0.008441625,0.012493102
105,2021-03-28 13:55:06,"Traditionally made with white fish, this Moroccan Jewish dish also works with salmon or shad.",0.13146462,0.005826083,0.21347497,0.06969738,0.044649918,0.017353334
106,2021-03-31 0:40:16,"The party tweeted its disdain for the proposed vaccine passport program, linking it to the symbol that Nazis used to persecute the Jews.",0.355017,0.03157293,0.48406938,0.25089207,0.19365796,0.2993134
107,2021-04-02 10:07:49,The Anti-Defamation League found that 63 percent of American Jews have experienced or witnessed anti-Semitism in the past five years.,0.118584804,0.0043398375,0.14779072,0.05776503,0.021487774,0.017575093
108,2021-04-03 23:19:47,"MY TURN GUYANA By Moses V. Nagamootoo RESURRECTION OF RESISTANCE As we celebrate Easter, we must remind ourselves that Christ’s holy mission is not complete. While the poor remain ‘blessed’, they are yet to inherit the Earth. Far from it: they are the 99% of Earth’s estimated 7.7 billion people who own only one percent of the wealth of the world. The filthy rich have gobbled up almost everything. Surely goodness and mercy have eluded the poor, the so-called “wretched of the earth”, who are today most vulnerable to the deadliest virus of all times. SYSTEMIC RACISM They are the ones who endure poverty, hunger and disease. They are the victims of wars waged by foreigners and their proxies. They are made destitute by their home-grown tyrants and corrupt cabals. They are exploitation by Big Business; and suffer systemic racism and injustices. So, Easter must represent the resurrection of resistance to the evils that engulf us. Growing up in a rural village, I saw squalor around me. Many children roam the village in rags, without shoes, uncertain about the future. My parents were not exactly poor, so I also saw how they reached out to those who could not make ends meet. As a boy I would sometimes look at the clouds. I would imagine on them the image of a gentle God who could change the life of my villagers for the better. VICIOUS CYCLE At about eleven years, I voluntarily baptized at the Lutheran Church, as I searched for salvation for the many who were trapped in the vicious cycle of want and hopelessness. But I realized soon enough how several foreign preachers mis-used the scriptures for political purposes. Instead of helping the poor to free themselves from their colonial shackles, they preached anti-communism; vilified righteous leaders; and peddled from way back then, outrageous lies packaged as “plain truth”. Six decades later we continued to see how the lofty mission I had imagined has been hijacked by so-called extremists to bludgeon civilized and democratic norms, to spread racist fears and terror, and to unleash hate and discrimination. The targeting of Blacks is not a peculiar American phenomenon. Since the advent of capitalism, they have been hunted commercially for their black skin, as Karl Marx had observed. In the United States, we have seen the targeting of Black Americans, most of whom are themselves Christians. Now, we are witnessing gruesome attacks against Asian Americans, mostly those of Chinese origins. In the late 1960s, while on a bus in London, I was attacked by a gang of “Skinheads” – white youths with shaved heads. They were in shabby clothes, but they wore racism in their heart. They were on a frenzy of “Paki-bashing” and, as a Guyanese of Asian background, they must have concluded that I was a Paki. Lucky for me, a group of Jamaicans came to my rescue. I am aware that there are many Indo-Guyanese in the United States who wrongly feel that the ‘pogrom’ of anti-Asian hate excludes them. It’s the Blacks; it’s the Latinos; it’s the Chinese. But, as Pastor Martin Niemoller advised during Nazi reign: “First they came for the socialists, and I did not speak out because I was not a socialist. Then they came for the trade unionists, and I did not speak out because I was not a trade unionist. Then they came for the Jews, and I did not speak out because I was not a Jew. Then they came for me, and there was no one left to speak for me.” TIME FOR SOLIDARITY Today we must stand up to the wrongs being done around us. We must resist anti-Chinese xenophobia. We can no longer remain silent. This is the time for solidarity with all victims of hate and violence. I remember only too well the American war of aggression against Vietnam. It was wrongly felt that the mighty empire would crush those “tiny yellow people”, as Muhamad Ali once described the heroic Vietnamese people. America learned a humiliating lesson not only because the Vietnamese people stood up against bullyism, but because the world stood in solidarity with them and their just cause. The American thinker Herbert Aptheker reminded us that resistance is the core of history. We must not lose hope. We too must resist the abuse of race and religion by evil-doers everywhere. Happy Easter to all. April 3, 2021 (The author, a journalist and attorney, is the former Prime Minister of Guyana).",0.27045983,0.014030159,0.123835884,0.29133546,0.06601811,0.018129492
109,2021-04-06 16:30:08,A Nazi responsible for sending tens of thousands of Jews to their deaths worked for West German intelligence after World War Two.,0.37221906,0.069610775,0.46926653,0.25089207,0.18783467,0.40426558
110,2021-04-06 10:25:07,"Franz Josef Huber, a top commander in Hitler’s secret police who was responsible for deporting tens of thousands of Jews, escaped punishment with U.S. backing and went on to work for West German intelligence, newly disclosed records show.",0.2459383,0.021206405,0.3339182,0.1341793,0.083822146,0.11431641
111,2021-04-07 17:01:36,"""American Jews are now part of the ownership class.""",0.3897107,0.038016986,0.48406938,0.307206,0.12391472,0.023303885
112,2021-04-07 4:00:30,"The worker told investigators he did not realize the footage was made by a white supremacist group, but he did notice the video included attacks on Jews.",0.35870504,0.029611697,0.49257523,0.22506444,0.16745315,0.25267118
113,2021-04-08 22:34:45,"All across Israel, traffic stopped and people stood in silence to remember the victims of the Holocaust. Holocaust Remembrance Day - Yom Hashoah - honours the six million Jews killed by the Nazis in World War Two. https://bbc.in/3tf53PL",0.21186037,0.013376211,0.2980635,0.11716794,0.02776667,0.16740175
114,2021-04-08 19:06:43,A memorial siren brought traffic to a halt in Israel as it honored six million Jews killed in the Nazi Holocaust https://reut.rs/3uCtsyC,0.24418297,0.02400817,0.33684066,0.13399015,0.11289855,0.25640294
115,2021-04-08 16:30:51,"""Lemkin’s lost poem reminds us of something valuable. When we remember the Holocaust only as a universal parable of racial hatred and religious stigmatization, we miss its full import as an attack against Jews as Jews,"" James Loeffler and Leora Bilsky write:",0.23189566,0.011236018,0.35383156,0.13644893,0.028324792,0.02603892
116,2021-04-08 15:05:05,"A memorial siren brought traffic to a halt in Israel on Thursday as it honoured six million Jews killed in the Nazi Holocaust, and gave thanks for its swift rollout of COVID-19 vaccines as a lifesaver for elderly survivors.",0.22981352,0.017953848,0.29925397,0.12731835,0.11052819,0.24645162
117,2021-04-08 13:57:49,"American Federation of Teachers (AFT) president Randi Weingarten, who leads the nation’s most powerful teachers’ union, has a message for fellow Jews: they should not criticize the unions, because they are part of America’s “ownership class.”",0.16482529,0.0071042543,0.17598657,0.08728064,0.053879,0.021603728
118,2021-04-08 12:19:59,"Following are Prime Minister Benjamin Netanyahu's remarks, this morning, Holocaust Martyrs' and Heroes' Remembrance Day, at the ""Unto Every Person There is a Name"" ceremony at the Knesset: ""The desire to commemorate the deceased is embedded deep in human nature. This ceremony gives clear expression to this because the desire to commemorate is underscored in our people, which lost millions of our brothers and sisters in the Holocaust. We saw this desire yesterday at the torchlighting ceremony that always moves us every year. Manya Bigunov, one of the torchlighters, has dedicated her life, all of time and energy to commemorating each of the 2,000 Jews who perished from her town of Teplyk. My father-in-law Shmuel Ben-Artzi, my wife Sara's father, evaded the Holocaust because he was a pioneer. He came here in 1933. He was a Tanakh scholar; Ben-Gurion invited him to his first Tanakh study circle. He was a poet and a talented author, who won Ka-Tzenik Prize for Holocaust Literature and taught generations of students, some of whom are known to you and who said that he was an educator and teacher par excellance. While he built a life, married Chava his wife and brought four children into the world, the Holocaust never left him for a moment. We spoke with him. We said 'Come, go back to and revisit the places of your youth, Bilgoraj, and while he did not want to go back, he did want to recreate. He did so in his marvelous, moving poems, one of which I always read here. He also recreated in the book that he wrote in the last years of his life, he passed away at 97. He wrote a marvelous book entitled 'Novardok', an exemplary book about the musar yeshiva where he studied in Mezeritch. In it he describes Mezeritch which had been 80% Jewish, a college town of yeshivas, most of them Chasidic. It had yeshivas, study halls and synagogues. He dedicated his book to his old classmates, the yeshiva students who all perished. In the book, he describes 'Butchers' Street and 'Shoemakers' Street in detail. But he never went back. After his passing, his daughter, my wife Sara; his grandsons Yair and Avner, traveled together to visit the places of his youth. They went to Mezeritch. What remains are the street names, 'Butchers' and 'Shoemakers'. There reached the place where the yeshiva had been. An elderly Pole who knew who they were saw them and brought them a photograph and said 'Here is a photograph of my father who stood here'. In the photograph, they saw the yeshiva, no trace of which remains. From there they went to Tarnogrod, which had been the family's city, the family of Shmuel's grandfather who would go there every summer. Tarnogrod also had been a mainly Jewish city. Nothing remains. No trace remains of the synagogue that the SS and the Gestapo used as a stable. One can see where the holy ark was and can see bullet marks; they used to enjoy shooting at it. From Tarnogrod, they went to the grove by the river where there is a monument to the Jews of Tarnogrod who were slaughtered. Another elderly Pole came by and said 'I was a child and I would see every day how the Nazis brought Jews here and slaughtered them', including Shmuel's family of course. When they reached Bilgoraj, there was nothing because the town was totally destroyed in the war, the city of his birth, also where Isaac Bashevis Singer grew up, and Shmuel himself whom you know. A world was destroyed but exists in books, in this ceremony, in memories in the hearts of our people. Shmuel sought to commemorate it another way. In his will, he commanded that the names, which I will read to you now, be etched on his grave, which they are. Here are the names: From Bilgoraj in Poland, which was entirely destroyed in the Holocaust: His father (my wife's grandfather) Moshe Hahn (Ben Zeev Hahn), his father's wife Ita Hahn, his (my father-in-law's) twin sister Yehudit, who was 24. Shmuel did not stop weeping for her until the day before he died. His brothers Meir Dov Hahn (18), Shimon Tzvi (16) and Aryeh Leib (13), and his little sister Feizele (10). From Tarnogrod: His aunt (his father's sister) Ma'tel Koenigstein, her son Hillel and her eldest daughter. His uncle Mendel Hahn, his wife and their two children. Also from Bilgoraj: His uncle Avraham Tauber, his wife and their son and daughter. His aunt Rachel Tauber .and her three sons – Avraham, Yaakov and Shlomo, and their wives and children. His aunt Hinda and her husband Yehezkel. His aunt Hendel, her husband and their children. His aunt Paula and her two daughters. May the memories of our brothers and sisters who perished in the Holocaust be etched in our hearts and in our souls forever."" Photo: Amos Ben-Gershom, GPO",0.082104236,0.0038642387,0.019342927,0.020381708,0.0062091295,0.011532144
119,2021-04-08 10:31:40,"""American Jews are now part of the ownership class.""",0.3897107,0.038016986,0.48406938,0.307206,0.12391472,0.023303885
120,2021-04-08 2:17:08,"Sun kind of wonderful After winter of COVID gloom, NYC beaches & pools set to open on time bit.ly/3d3v2E9 Wild Tiger Woods speeding before crash bit.ly/3a9UohN All worry Soreness sidelines Aaron Judge bit.ly/31Xi0Se",0.02517722,0.0017983572,0.01270648,0.008981149,0.0043952265,0.011716943
121,2021-04-09 20:30:01,"Eva Schloss, the 91-year-old friend & stepsister of Anne Frank and a Holocaust survivor herself, compared former President Donald Trump to Adolf Hitler. Schloss spoke to The Daily Beast in an interview published on April 8's Yom HaShoah, a day of Holocaust remembrance in Israel and elsewhere. 'You know, he’s said so many silly things,' Schloss was quoted as saying. 'I’ve compared him to Hitler. I even heard that he studied Hitler’s speeches and things like that, so he obviously admired Hitler and just copied him with his anti-Semitism. The Muslims are hated as well. This is what’s so wrong in our society — white supremacy. We should all treat each other as equal.' According to the Anti-Defamation League, anti-Semitic attacks in the U.S. hit an all-time high under Trump's presidency. But Schloss was quick to point out the former president's rhetoric and policies targeted marginalized communities beyond Jews. 'Trump wasn’t just against the Jews — he was against the Mexicans and many others,' Schloss said. 'Full-stop, he was a racist.' Schloss and Anne Frank struck up a friendship as preteens in Amsterdam prior to going into hiding from the Nazis. Schloss and her family were eventually captured and sent to Auschwitz. She and her mother survived, but her father and brother were killed. Her mother later remarried Otto Frank, Anne's father, in the years after WWII.",0.34684154,0.027650462,0.1398833,0.41162726,0.19948125,0.026852038
122,2021-04-09 1:00:01,"On the morning of April 8, practically all of Israel came to a universal standstill as memorial sirens blared nationwide on Holocaust Remembrance Day. The siren wailed for 2 minutes to honor the 6 million Jews killed in the Holocaust more than 75 years ago. Israeli PM Benjamin Netanyahu and President Reuven Rivlin were attending a memorial ceremony at Jerusalem's Yad Vashem, the World Holocaust Remembrance Center, during the sirens.",0.14283726,0.007282604,0.14713493,0.06519461,0.03502228,0.08697266
123,2021-04-11 12:30:36,Getting everyone to agree on a symbol for the everyday language of Jews from Eastern Europe is no easy task​.,0.15334547,0.0060044327,0.1822667,0.07059793,0.025673704,0.017205494
124,2021-04-11 11:01:12,"Prince Philip, who passed away at the age of 99 a day after Israel commemorated Holocaust Remembrance Day, was born to Princess Alice of Battenberg, a woman who is remembered for sheltering Jews during the Second World War.",0.068918526,0.0029576288,0.10844573,0.037830796,0.024138862,0.020494929
125,2021-04-14 12:23:05,"OPINION | Asians and Jews, standing united Hate and division are on the rise, and two of the principal targets are Asian-Americans and Jewish Americans.",0.022945397,0.0006613793,0.035091322,0.016862564,0.0024069096,0.010021406
126,2021-04-17 2:33:12,The Justice Department said Friday that a Nazi sympathizer who stormed the US Capitol on January 6 poses a threat to Jewish residents in his native New Jersey and therefore shouldn't be released from jail.,0.3063832,0.019805524,0.38650733,0.17919263,0.116978616,0.36221054
127,2021-04-19 23:17:43,"Last week, in passing a ruling which ended a nearly four-year legal saga, the French Republic carried out such a travesty.",0.17449278,0.0049343356,0.081927784,0.13228792,0.036836185,0.01975573
128,2021-04-19 6:00:10,"From the Magazine: Jews are a tiny minority in Colombia; just 4,000 are estimated to live in a country of 50 million. But one photographer was surprised to find a growing community in Cali of so-called emergentes — “emerging Jews,” mainly evangelicals who have shed their previous religious doctrines to practice strict Orthodox Judaism.",0.040971663,0.0012633088,0.061882574,0.017229142,0.0033313024,0.010866865
129,2021-04-22 2:57:51,"The chant was made ahead of a game against a team whose fans call themselves ""Jews,"" and Jewish organizations are calling for prosecutions.",0.22985287,0.01004702,0.36871558,0.13380101,0.078561865,0.03291347
130,2021-04-23 7:31:44,Israeli officials have waged an aggressive campaign against false vaccine rumors among ultra-Orthodox Jews. But the story of an expectant mother who died of COVID-19 spurred many in one community to get shots.,0.28996843,0.018548347,0.36871558,0.15740685,0.06642275,0.40362522
131,2021-04-24 19:00:32,"Orthodox Jews eschew writing implements on the Saturday sabbath, so they obviously wouldn’t be able to vote, wrote several rabbis in the party.",0.21627559,0.008322976,0.311509,0.13906091,0.039905865,0.017575093
132,2021-04-24 3:15:37,Security forces in Jerusalem separately clashed with Palestinians angry about Ramadan restriction and Jewish extremists who held an anti-Arab march nearby on Thursday night.,0.1580154,0.0057666334,0.22269844,0.08502499,0.0337665,0.043108724
133,2021-04-24 1:30:24,"From WSJ Opinion: There is a crisis at the border, but it is a moral one, write Sabeeha Rehman and Walter Ruby. We urge our Catholic president to uphold our shared imperative to welcome the stranger.",0.025863936,0.0013376211,0.03182577,0.025513794,0.0056510055,0.012770302
134,2021-04-24 1:00:41,The party offers that option to active-duty military personnel but not to those with religious obligations.,0.04543531,0.0014936769,0.087018624,0.031379033,0.0055114743,0.012234382
135,2021-04-27 1:30:04,RNC Chairwoman Ronna McDaniel urged the party to reconsider its vote last week.,0.012217224,0.0011444092,0.015102975,0.01092401,0.007499791,0.014618298
136,2021-04-30 21:02:10,"The day after a crush killed dozens of Orthodox Jews at a religious festival in Israel, the true horror of the disaster has become evident. https://bbc.in/3vx956x",0.30337667,0.029051345,0.3999814,0.15282036,0.09272416,0.40362522
137,2021-04-30 15:30:40,Tens of thousands of ultra-Orthodox Jews had gathered for the holiday of Lag b’Omer when tragedy struck.,0.17449278,0.009155273,0.28286743,0.13070183,0.040184926,0.025225801
138,2021-04-30 14:56:24,"At least 45 people were killed and some 150 more were injured in a crush at a religious festival in northern Israel, where tens of thousands of people had convened.",0.17380224,0.0101659205,0.1484465,0.06046669,0.041022114,0.27479038
139,2021-04-30 14:00:52,"The stampede occurred during the celebrations of Lag BaOmer at Mount Meron, the first mass religious gathering to be held legally since Israel lifted nearly all restrictions related to the coronavirus pandemic. https://to.pbs.org/334CvwB",0.043718524,0.0029427665,0.07556422,0.031818926,0.013115914,0.015209657
140,2021-04-30 13:48:14,It was one of the country's deadliest civilian disasters.,0.047495455,0.002214506,0.027717492,0.050110314,0.013115914,0.018646931
141,2021-04-30 12:40:47,"Authorities and medics in northern Israel arrive at the scene of a stampede that killed at least 44 people and injured some 150 others, in one of the country's deadliest civilian disasters. The stampede occurred during a religious festival attended by tens of thousands of ultra-Orthodox Jews. https://cbsn.ws/3e5tqdc",0.2459383,0.013554561,0.36871558,0.13682722,0.032510724,0.26469266
142,2021-04-30 9:14:08,"A stampede at a religious festival attended by tens of thousands of ultra-Orthodox Jews in northern Israel killed at least 44 people and injured about 150, medical officials said.",0.3093897,0.024288345,0.40626287,0.17804602,0.08301287,0.41126943
143,2021-04-30 7:39:35,The gathering of tens of thousands of mostly ultra-Orthodox Jews was the first big religious festival of its kind since COVID restrictions were lifted.,0.1609341,0.0067772805,0.26725507,0.09912278,0.02358074,0.01968181
144,2021-04-30 3:45:51,At least 40 people were killed in a stampede near Israel's Mount Meron while a large group of mostly ultra-Orthodox Jews were celebrating the religious festival Lag BaOmer.,0.263611,0.014803007,0.36871558,0.13720548,0.078561865,0.2906582
145,2021-04-30 2:09:32,Dozens of people have been killed in a stampede at a religious festival in Israel. Tens of thousands of mainly ultra-Orthodox Jews were marking the annual Lag BaOmer holiday.,0.28996843,0.018191647,0.39414537,0.16772643,0.07775259,0.3810735
146,2021-04-30 2:07:11,The Israeli military said it had dispatched medics and search and rescue teams along with helicopters to assist with a “mass casualty incident” in the area.,0.032731086,0.0014045022,0.044382792,0.017815666,0.010395059,0.020494929
147,2021-04-30 0:37:51,"Dozens of people have been killed in a stampede at a religious bonfire festival in Israel, medics said. Tens of thousands of ultra-Orthodox Jews had gathered at the tomb of a 2nd-century sage. https://reut.rs/3aOYeNB",0.2406723,0.017953848,0.33853975,0.1347467,0.05913928,0.30219844
148,2021-05-01 22:37:08,Five American citizens with ties to the N.Y. area are reportedly among dozens of ultra-Orthodox Jews killed in a horrendous stampede at a crowded religious celebration near Jerusalem.,0.28874767,0.017953848,0.36934572,0.16199332,0.07532477,0.25267118
149,2021-05-01 10:48:01,"The stampede began when large numbers of people thronged a narrow tunnel-like passage during the event. People began falling on top of each other near the end of the walkway, as they descended slippery metal stairs, witnesses said. https://to.pbs.org/334CvwB",0.034962907,0.0023334057,0.02213445,0.03108577,0.023022614,0.023156045
150,2021-05-01 1:00:11,"""As a country where the genocide against the Jews is seared into the national consciousness, can Israel afford to avoid recognizing the same Armenian reality?"" American Jewish Committee CEO David Harris asks Newsweek.",0.2712817,0.012900612,0.27506125,0.08140459,0.028603854,0.04424805
151,2021-05-03 22:52:25,Israel's government watchdog agency says it will launch an investigation into the deadly stampede at a religious festival over the weekend that left 45 ultra-Orthodox Jews dead.,0.28923595,0.018905045,0.398219,0.19074535,0.15435076,0.3496352
152,2021-05-03 5:01:18,Some advocates are focusing on the spiritual side of psychedelics as a way to decriminalize through religious exemption.,0.08501353,0.0017834948,0.11897583,0.058890723,0.011999666,0.012585501
153,2021-05-04 9:00:25,"Hate crimes in New York City continue to rise, fueled by an increase in crimes targeting Asian-Americans and dozens of crimes against Jews, according to NYPD figures.",0.30788645,0.01712155,0.2980635,0.11152883,0.04700017,0.029365314
154,2021-05-05 20:45:03,"On Sunday, 60 Minutes tells the little-known story of the ""Ritchie Boys,"" a group who used their knowledge of German language and culture to gather more than half the combat intelligence on the Western Front.",0.0789077,0.0039831386,0.04629186,0.05281198,0.028743384,0.022121167
155,2021-05-06 2:43:09,"More than 200 notable thinkers, intellectuals and activists from the American Jewish community have signed the 'Jewish Harper's Letter', expressing their support for freedom of expression and their condemnation of alleged ""suppression of dissent"" among Jews.",0.07211506,0.002244231,0.13338675,0.040176895,0.013115914,0.012530061
156,2021-05-08 4:09:05,"More than 20 Palestinian worshippers were hospitalized after a clash with Israeli police in riot gear at the Al-Aqsa Mosque, a sacred religious site for Muslims and Jews, intensifying weeks of sporadic violence in Jeruselum.",0.0035922804,0.00017277607,0.015629677,0.0037390904,0.0010639238,0.010293986
157,2021-05-08 1:00:27,"Palestinian worshippers have clashed with Israeli police at the Al Aqsa mosque compound, a holy site sacred to Muslims and Jews.",0.14822112,0.006271957,0.21654946,0.07870293,0.033068847,0.026630279
158,2021-05-09 22:30:36,"Tonight, 60 Minutes reports on members of a secret American military intelligence unit who fought in World War II. Many of them were German born Jews who fled their homeland, came to America, and then joined the U.S. Army. https://cbsn.ws/33qv1Eq",0.07251463,0.004042588,0.119785845,0.040763415,0.0238598,0.020716688
